Sending_Country,Receiving_Country,Year,Value,Unit,Source,Region,Sending_Country_Code,Receiving_Country_Code,Sending_Country_GDP,Receiving_Country_GDP
Portugal,Panama,2022,0.488213444,USD millions,INEC,Latin America,PRT,PAN,230002.605108707,70048.9853448611
Puerto Rico,Costa Rica,2022,78.256812047,USD millions,Central Bank Data,Latin America,PRI,CRI,95456.9068608231,69549.85603306709
Puerto Rico,Dominican Republic,2022,78.256812047,USD millions,Central Bank Data,Latin America,PRI,DOM,95456.9068608231,97686.4508239666
Puerto Rico,Ecuador,2021,0.45274215,USD millions,Central Bank Data,Latin America,PRI,ECU,92715.2288567798,102825.145845295
Puerto Rico,Panama,2022,0.170933985,USD millions,INEC,Latin America,PRI,PAN,95456.9068608231,70048.9853448611
Qatar,Ecuador,2021,1.12886194,USD millions,Central Bank Data,Latin America,QAT,ECU,164042.828070675,102825.145845295
Qatar,Mexico,2022,0.185174,USD millions,Central Bank Data,Latin America,QAT,MEX,170908.03635371,1287850.32341001
Republic of Korea,Ecuador,2021,0.12057675,USD millions,Central Bank Data,Latin America,KOR,ECU,1696543.31194281,102825.145845295
Republic of Korea,Mexico,2022,0.188341,USD millions,Central Bank Data,Latin America,KOR,MEX,1740868.42727701,1287850.32341001
Republic of Korea,Panama,2022,0.418495932,USD millions,INEC,Latin America,KOR,PAN,1740868.42727701,70048.9853448611
Republic of Moldova,Ecuador,2021,0.11212232,USD millions,Central Bank Data,Latin America,MDA,ECU,9573.77785636482,102825.145845295
Republic of Moldova,Mexico,2022,0.003839,USD millions,Central Bank Data,Latin America,MDA,MEX,9133.384074972031,1287850.32341001
Réunion,Mexico,2022,0.000868,USD millions,Central Bank Data,Latin America,REU,MEX,,1287850.32341001
Romania,Ecuador,2021,0.31755202,USD millions,Central Bank Data,Latin America,ROU,ECU,221968.42330780398,102825.145845295
Romania,Mexico,2022,0.141631,USD millions,Central Bank Data,Latin America,ROU,MEX,230770.154206928,1287850.32341001
Romania,Panama,2022,0.079066158,USD millions,INEC,Latin America,ROU,PAN,230770.154206928,70048.9853448611
Russian Federation,Ecuador,2021,6.59514737,USD millions,Central Bank Data,Latin America,RUS,ECU,1506233.2917595601,102825.145845295
Russian Federation,Mexico,2022,0.119315,USD millions,Central Bank Data,Latin America,RUS,MEX,1484605.5569575601,1287850.32341001
Russian Federation,Panama,2022,0.296639516,USD millions,INEC,Latin America,RUS,PAN,1484605.5569575601,70048.9853448611
Rwanda,Ecuador,2021,0.00725502,USD millions,Central Bank Data,Latin America,RWA,ECU,11969.9326921767,102825.145845295
Rwanda,Mexico,2022,0.000881,USD millions,Central Bank Data,Latin America,RWA,MEX,12946.8237019307,1287850.32341001
Saint Kitts and Nevis,Ecuador,2021,0.0178448,USD millions,Central Bank Data,Latin America,KNA,ECU,889.985054357552,102825.145845295
Saint Kitts and Nevis,Mexico,2022,0.060822,USD millions,Central Bank Data,Latin America,KNA,MEX,982.030904704784,1287850.32341001
Saint Kitts and Nevis,Panama,2022,0.052720169,USD millions,INEC,Latin America,KNA,PAN,982.030904704784,70048.9853448611
Saint Lucia,Ecuador,2021,0.04643751,USD millions,Central Bank Data,Latin America,LCA,ECU,1666.8458597076099,102825.145845295
Saint Lucia,Mexico,2022,0.00508,USD millions,Central Bank Data,Latin America,LCA,MEX,2006.68978075964,1287850.32341001
Saint Martin (French part),Ecuador,2021,0.2454753,USD millions,Central Bank Data,Latin America,MAF,ECU,,102825.145845295
Saint Martin (French part),Haiti,2019,1.457960757,USD millions,Central Bank Data,Latin America,MAF,HTI,,15485.274058243
Saint Martin (French part),Jamaica,2022,0.598351012,USD millions,Central Bank Data,Latin America,MAF,JAM,,14806.3802902635
Saint Martin (French part),Mexico,2022,0.336205,USD millions,Central Bank Data,Latin America,MAF,MEX,,1287850.32341001
Saint Vincent and the,Ecuador,2021,0.00104063,USD millions,Central Bank Data,Latin America,VCT,ECU,843.606096161631,102825.145845295
Grenadines,Ecuador,2021,0.00104063,USD millions,Central Bank Data,Latin America,VCT,ECU,843.606096161631,102825.145845295
Grenadines,Mexico,2022,0.001745,USD millions,Central Bank Data,Latin America,VCT,MEX,869.849273020018,1287850.32341001
Grenadines,Panama,2022,0.041102648,USD millions,INEC,Latin America,VCT,PAN,869.849273020018,70048.9853448611
Samoa,Ecuador,2021,0.00287723,USD millions,Central Bank Data,Latin America,WSM,ECU,843.5119665849629,102825.145845295
Samoa,Mexico,2022,0.000167,USD millions,Central Bank Data,Latin America,WSM,MEX,798.752767864439,1287850.32341001
Sao Tome and Principe,Ecuador,2021,0.00046797,USD millions,Central Bank Data,Latin America,STP,ECU,317.02395775382604,102825.145845295
Saudi Arabia,Ecuador,2021,0.88712676,USD millions,Central Bank Data,Latin America,SAU,ECU,767229.07083889,102825.145845295
Saudi Arabia,Mexico,2022,0.596318,USD millions,Central Bank Data,Latin America,SAU,MEX,859301.066620788,1287850.32341001
Saudi Arabia,Panama,2022,0.261655688,USD millions,INEC,Latin America,SAU,PAN,859301.066620788,70048.9853448611
Senegal,Ecuador,2021,0.13695775,USD millions,Central Bank Data,Latin America,SEN,ECU,24359.596784117002,102825.145845295
Senegal,Mexico,2022,0.191356,USD millions,Central Bank Data,Latin America,SEN,MEX,25297.5464785042,1287850.32341001
Senegal,Panama,2022,0.240844020,USD millions,INEC,Latin America,SEN,PAN,25297.5464785042,70048.9853448611
Serbia,Ecuador,2021,0.23685182,USD millions,Central Bank Data,Latin America,SRB,ECU,51022.8588749258,102825.145845295
Serbia,Mexico,2022,0.049416,USD millions,Central Bank Data,Latin America,SRB,MEX,52365.2633753114,1287850.32341001
Seychelles,Ecuador,2021,0.00965,USD millions,Central Bank Data,Latin America,SYC,ECU,1687.88647931967,102825.145845295
Sierra Leone,Ecuador,2021,0.03807532,USD millions,Central Bank Data,Latin America,SLE,ECU,8465.06086302376,102825.145845295
Sierra Leone,Mexico,2022,0.022077,USD millions,Central Bank Data,Latin America,SLE,MEX,8914.85649510508,1287850.32341001
Sierra Leone,Panama,2022,0.002893205,USD millions,INEC,Latin America,SLE,PAN,8914.85649510508,70048.9853448611
Singapore,Ecuador,2021,0.08829345,USD millions,Central Bank Data,Latin America,SGP,ECU,369376.902514865,102825.145845295
Singapore,Mexico,2022,0.02457,USD millions,Central Bank Data,Latin America,SGP,MEX,384550.906479006,1287850.32341001
Singapore,Panama,2022,0.059043513,USD millions,INEC,Latin America,SGP,PAN,384550.906479006,70048.9853448611
Slovakia,Ecuador,2021,0.17257504,USD millions,Central Bank Data,Latin America,SVK,ECU,102496.70350885601,102825.145845295
Slovakia,Mexico,2022,0.004663,USD millions,Central Bank Data,Latin America,SVK,MEX,102944.982587622,1287850.32341001
Slovenia,Ecuador,2021,0.03722737,USD millions,Central Bank Data,Latin America,SVN,ECU,51983.646950593495,102825.145845295
Slovenia,Mexico,2022,0.011434,USD millions,Central Bank Data,Latin America,SVN,MEX,53386.809690271795,1287850.32341001
Slovenia,Panama,2022,0.012445071,USD millions,INEC,Latin America,SVN,PAN,53386.809690271795,70048.9853448611
Solomon Islands,Ecuador,2021,0.00108,USD millions,Central Bank Data,Latin America,SLB,ECU,1474.2184698973401,102825.145845295
South Africa,Ecuador,2021,0.25393562,USD millions,Central Bank Data,Latin America,ZAF,ECU,354021.006263537,102825.145845295
South Africa,Mexico,2022,0.078301,USD millions,Central Bank Data,Latin America,ZAF,MEX,360788.046853641,1287850.32341001
South Africa,Panama,2022,0.112342081,USD millions,INEC,Latin America,ZAF,PAN,360788.046853641,70048.9853448611
South Sudan,Ecuador,2021,0.0026,USD millions,Central Bank Data,Latin America,SSD,ECU,,102825.145845295
Spain,Bolivia,2022,451,USD millions,Central Bank Data,Latin America,ESP,BOL,1345296.61885967,38319.7283375714
Spain,Brazil,2022,167.93063928,USD millions,Central Bank Data,Latin America,ESP,BRA,1345296.61885967,1899505.37755802
Spain,Chile,2021,26.967196721,USD millions,Central Bank Data,Latin America,ESP,CHL,1267004.4578269199,273390.12003128
Spain,Colombia,2022,"1,199.214183477",USD millions,Central Bank Data,Latin America,ESP,COL,1345296.61885967,354752.90089902
Spain,Costa Rica,2022,625.770164171,USD millions,Central Bank Data,Latin America,ESP,CRI,1345296.61885967,69549.85603306709
Spain,Dominican Republic,2022,625.770164171,USD millions,Central Bank Data,Latin America,ESP,DOM,1345296.61885967,97686.4508239666
Spain,Ecuador,2021,"1,605.1797441",USD millions,Central Bank Data,Latin America,ESP,ECU,1267004.4578269199,102825.145845295
Spain,Honduras,2022,73.30219679,USD millions,Central Bank Data,Latin America,ESP,HND,1345296.61885967,25973.6726317766
Spain,Mexico,2022,59.345676,USD millions,Central Bank Data,Latin America,ESP,MEX,1345296.61885967,1287850.32341001
Spain,Nicaragua,2022,157.5,USD millions,Central Bank Data,Latin America,ESP,NIC,1345296.61885967,14644.1463457189
Spain,Panama,2022,8.824471014,USD millions,INEC,Latin America,ESP,PAN,1345296.61885967,70048.9853448611
Spain,Paraguay,2022,292.813386646,USD millions,Central Bank Data,Latin America,ESP,PRY,1345296.61885967,42037.90309474491
State of Palestine,Ecuador,2021,0.147002,USD millions,Central Bank Data,Latin America,PSE,ECU,15021.7,102825.145845295
State of Palestine,Mexico,2022,0.002615,USD millions,Central Bank Data,Latin America,PSE,MEX,15635.0,1287850.32341001
State of Palestine,Panama,2022,0.028194297,USD millions,INEC,Latin America,PSE,PAN,15635.0,70048.9853448611
Sudan,Ecuador,2021,0.00282042,USD millions,Central Bank Data,Latin America,SDN,ECU,48525.909156878406,102825.145845295
Sudan,Mexico,2022,0.029986,USD millions,Central Bank Data,Latin America,SDN,MEX,48061.1199479824,1287850.32341001
Suriname,Ecuador,2021,0.2684408,USD millions,Central Bank Data,Latin America,SUR,ECU,4309.14455520541,102825.145845295
Suriname,Mexico,2022,0.081836,USD millions,Central Bank Data,Latin America,SUR,MEX,4412.832154845641,1287850.32341001
Suriname,Panama,2022,0.507191491,USD millions,INEC,Latin America,SUR,PAN,4412.832154845641,70048.9853448611
Sweden,Chile,2021,6.294202981,USD millions,Central Bank Data,Latin America,SWE,CHL,567227.918083309,273390.12003128
Sweden,Colombia,2022,14.807615149,USD millions,Central Bank Data,Latin America,SWE,COL,575505.409859556,354752.90089902
Sweden,Ecuador,2021,6.66159724,USD millions,Central Bank Data,Latin America,SWE,ECU,567227.918083309,102825.145845295
Sweden,Mexico,2022,0.546586,USD millions,Central Bank Data,Latin America,SWE,MEX,575505.409859556,1287850.32341001
Sweden,Panama,2022,0.491529577,USD millions,INEC,Latin America,SWE,PAN,575505.409859556,70048.9853448611
Switzerland,Brazil,2022,194.98397219,USD millions,Central Bank Data,Latin America,CHE,BRA,795248.22875484,1899505.37755802
Switzerland,Chile,2021,3.959252163,USD millions,Central Bank Data,Latin America,CHE,CHL,771755.5197341,273390.12003128
Switzerland,Colombia,2022,68.355671234,USD millions,Central Bank Data,Latin America,CHE,COL,795248.22875484,354752.90089902
Switzerland,Costa Rica,2022,68.771554972,USD millions,Central Bank Data,Latin America,CHE,CRI,795248.22875484,69549.85603306709
Switzerland,Dominican Republic,2022,68.771554972,USD millions,Central Bank Data,Latin America,CHE,DOM,795248.22875484,97686.4508239666
Switzerland,Ecuador,2021,57.27817638,USD millions,Central Bank Data,Latin America,CHE,ECU,771755.5197341,102825.145845295
Switzerland,Mexico,2022,13.58806,USD millions,Central Bank Data,Latin America,CHE,MEX,795248.22875484,1287850.32341001
Switzerland,Panama,2022,1.025615042,USD millions,INEC,Latin America,CHE,PAN,795248.22875484,70048.9853448611
Syrian Arab Republic,Ecuador,2021,0.009056,USD millions,Central Bank Data,Latin America,SYR,ECU,15882.7969696273,102825.145845295
Tajikistan,Ecuador,2021,0.0488,USD millions,Central Bank Data,Latin America,TJK,ECU,12499.2002749255,102825.145845295
Tajikistan,Mexico,2022,0.00556,USD millions,Central Bank Data,Latin America,TJK,MEX,13499.1363392248,1287850.32341001
Thailand,Ecuador,2021,0.15738123,USD millions,Central Bank Data,Latin America,THA,ECU,439080.79698682,102825.145845295
Thailand,Mexico,2022,0.08895,USD millions,Central Bank Data,Latin America,THA,MEX,450410.74455485697,1287850.32341001
Thailand,Panama,2022,0.067822704,USD millions,INEC,Latin America,THA,PAN,450410.74455485697,70048.9853448611
Timor-Leste,Mexico,2022,0.00016,USD millions,Central Bank Data,Latin America,TLS,MEX,2161.45650857491,1287850.32341001
Togo,Ecuador,2021,0.02248343,USD millions,Central Bank Data,Latin America,TGO,ECU,7415.21371765264,102825.145845295
Togo,Mexico,2022,0.039602,USD millions,Central Bank Data,Latin America,TGO,MEX,7842.29610431507,1287850.32341001
Trinidad and Tobago,Colombia,2022,0.589172170,USD millions,Central Bank Data,Latin America,TTO,COL,21472.9541531036,354752.90089902
Trinidad and Tobago,Ecuador,2021,0.37886103,USD millions,Central Bank Data,Latin America,TTO,ECU,21243.0570441771,102825.145845295
Trinidad and Tobago,Jamaica,2022,4.549712253,USD millions,Central Bank Data,Latin America,TTO,JAM,21472.9541531036,14806.3802902635
Trinidad and Tobago,Mexico,2022,0.060013,USD millions,Central Bank Data,Latin America,TTO,MEX,21472.9541531036,1287850.32341001
Trinidad and Tobago,Panama,2022,0.095163364,USD millions,INEC,Latin America,TTO,PAN,21472.9541531036,70048.9853448611
Turkey,Ecuador,2021,1.84732415,USD millions,Central Bank Data,Latin America,TUR,ECU,1131775.46357396,102825.145845295
Turkey,Mexico,2022,0.312832,USD millions,Central Bank Data,Latin America,TUR,MEX,1194401.44255695,1287850.32341001
Turkey,Panama,2022,0.353621388,USD millions,INEC,Latin America,TUR,PAN,1194401.44255695,70048.9853448611
Turks and Caicos Islands,Ecuador,2021,0.10900262,USD millions,Central Bank Data,Latin America,TCA,ECU,1696.05983366285,102825.145845295
Turks and Caicos Islands,Haiti,2019,33.914718740,USD millions,Central Bank Data,Latin America,TCA,HTI,1976.932863411,15485.274058243
Turks and Caicos Islands,Jamaica,2022,14.433990492,USD millions,Central Bank Data,Latin America,TCA,JAM,1934.98587565397,14806.3802902635
Turks and Caicos Islands,Mexico,2022,0.103363,USD millions,Central Bank Data,Latin America,TCA,MEX,1934.98587565397,1287850.32341001
Turks and Caicos Islands,Panama,2022,0.242319539,USD millions,INEC,Latin America,TCA,PAN,1934.98587565397,70048.9853448611
Uganda,Ecuador,2021,0.03159125,USD millions,Central Bank Data,Latin America,UGA,ECU,42210.5859527826,102825.145845295
Uganda,Mexico,2022,0.004288,USD millions,Central Bank Data,Latin America,UGA,MEX,44147.216889624004,1287850.32341001
Uganda,Panama,2022,0.009844711,USD millions,INEC,Latin America,UGA,PAN,44147.216889624004,70048.9853448611
Ukraine,Ecuador,2021,2.35829893,USD millions,Central Bank Data,Latin America,UKR,ECU,101499.127457564,102825.145845295
Ukraine,Mexico,2022,0.032432,USD millions,Central Bank Data,Latin America,UKR,MEX,72309.41540967379,1287850.32341001
Ukraine,Panama,2022,0.144711259,USD millions,INEC,Latin America,UKR,PAN,72309.41540967379,70048.9853448611
United Arab Emirates,Colombia,2022,11.972979220,USD millions,Central Bank Data,Latin America,ARE,COL,430077.804445494,354752.90089902
United Arab Emirates,Ecuador,2021,0.88823674,USD millions,Central Bank Data,Latin America,ARE,ECU,400036.290964175,102825.145845295
United Arab Emirates,Mexico,2022,1.108801,USD millions,Central Bank Data,Latin America,ARE,MEX,430077.804445494,1287850.32341001
United Arab Emirates,Panama,2022,0.603113707,USD millions,INEC,Latin America,ARE,PAN,430077.804445494,70048.9853448611
United Kingdom,Brazil,2022,462.21656999,USD millions,Central Bank Data,Latin America,GBR,BRA,3223545.4108056203,1899505.37755802
United Kingdom,Chile,2021,4.480732809,USD millions,Central Bank Data,Latin America,GBR,CHL,3074755.37897802,273390.12003128
United Kingdom,Colombia,2022,269.797973655,USD millions,Central Bank Data,Latin America,GBR,COL,3223545.4108056203,354752.90089902
United Kingdom,Ecuador,2021,71.11826076,USD millions,Central Bank Data,Latin America,GBR,ECU,3074755.37897802,102825.145845295
United Kingdom,Jamaica,2022,287.742154116,USD millions,Central Bank Data,Latin America,GBR,JAM,3223545.4108056203,14806.3802902635
United Kingdom,Mexico,2022,134.48142,USD millions,Central Bank Data,Latin America,GBR,MEX,3223545.4108056203,1287850.32341001
United Kingdom,Panama,2022,1.773870157,USD millions,INEC,Latin America,GBR,PAN,3223545.4108056203,70048.9853448611
United Republic of Tanzania,Ecuador,2021,0.01700022,USD millions,Central Bank Data,Latin America,TZA,ECU,64226.4315831539,102825.145845295
United Republic of Tanzania,Mexico,2022,0.020896,USD millions,Central Bank Data,Latin America,TZA,MEX,67159.014151451,1287850.32341001
United States of America,Bolivia,2022,298,USD millions,Central Bank Data,Latin America,USA,BOL,21443388.432051,38319.7283375714
United States of America,Brazil,2022,"2,231.74042709",USD millions,Central Bank Data,Latin America,USA,BRA,21443388.432051,1899505.37755802
United States of America,Chile,2021,139.514201313,USD millions,Central Bank Data,Latin America,USA,CHL,20917853.4446683,273390.12003128
United States of America,Colombia,2022,"5,059.152234664",USD millions,Central Bank Data,Latin America,USA,COL,21443388.432051,354752.90089902
United States of America,Costa Rica,2022,"8,320.519017729",USD millions,Central Bank Data,Latin America,USA,CRI,21443388.432051,69549.85603306709
United States of America,Dominican Republic,2022,"8,320.519017729",USD millions,Central Bank Data,Latin America,USA,DOM,21443388.432051,97686.4508239666
United States of America,Ecuador,2021,"4,981.2321893",USD millions,Central Bank Data,Latin America,USA,ECU,20917853.4446683,102825.145845295
United States of America,Haiti,2019,"1,775.362862703",USD millions,Central Bank Data,Latin America,USA,HTI,20159639.089698102,15485.274058243
United States of America,Honduras,2022,"8,562.962187090",USD millions,Central Bank Data,Latin America,USA,HND,21443388.432051,25973.6726317766
United States of America,Jamaica,2022,"2,085.613553975",USD millions,Central Bank Data,Latin America,USA,JAM,21443388.432051,14806.3802902635
United States of America,Mexico,2022,"55,864.008664",USD millions,Central Bank Data,Latin America,USA,MEX,21443388.432051,1287850.32341001
United States of America,Nicaragua,2022,"2,157",USD millions,Central Bank Data,Latin America,USA,NIC,21443388.432051,14644.1463457189
United States of America,Panama,2022,339.229475464,USD millions,INEC,Latin America,USA,PAN,21443388.432051,70048.9853448611
United States of America,Paraguay,2022,98.476961780,USD millions,Central Bank Data,Latin America,USA,PRY,21443388.432051,42037.90309474491
United States of America,Suriname,2022,17.256844373,USD millions,Central Bank Data,Latin America,USA,SUR,21443388.432051,4412.832154845641
United States Virgin Islands,Mexico,2022,0.104929,USD millions,Central Bank Data,Latin America,VIR,MEX,3898.5344183564603,1287850.32341001
United States Virgin Islands,Panama,2022,0.003401734,USD millions,INEC,Latin America,VIR,PAN,3898.5344183564603,70048.9853448611
Uruguay,Ecuador,2021,3.54366772,USD millions,Central Bank Data,Latin America,URY,ECU,59156.8578537605,102825.145845295
Uruguay,Mexico,2022,10.319234,USD millions,Central Bank Data,Latin America,URY,MEX,61810.7688013209,1287850.32341001
Uruguay,Panama,2022,2.251356191,USD millions,INEC,Latin America,URY,PAN,61810.7688013209,70048.9853448611
Uzbekistan,Ecuador,2021,0.22429882,USD millions,Central Bank Data,Latin America,UZB,ECU,117891.62298682201,102825.145845295
Uzbekistan,Mexico,2022,0.079288,USD millions,Central Bank Data,Latin America,UZB,MEX,124966.702851263,1287850.32341001
Vanuatu,Ecuador,2021,0.0176409,USD millions,Central Bank Data,Latin America,VUT,ECU,815.5366737660021,102825.145845295
Venezuela,Colombia,2022,14.716649206,USD millions,Central Bank Data,Latin America,VEN,COL,,354752.90089902
Venezuela,Ecuador,2021,1.69592466,USD millions,Central Bank Data,Latin America,VEN,ECU,,102825.145845295
Venezuela,Mexico,2022,0.31243,USD millions,Central Bank Data,Latin America,VEN,MEX,,1287850.32341001
Venezuela,Panama,2022,0.201066621,USD millions,INEC,Latin America,VEN,PAN,,70048.9853448611
Viet Nam,Mexico,2022,0.001074,USD millions,Central Bank Data,Latin America,VNM,MEX,360611.028837664,1287850.32341001
Viet Nam,Panama,2022,0.0007246,USD millions,INEC,Latin America,VNM,PAN,360611.028837664,70048.9853448611
Yemen,Ecuador,2021,0.25918,USD millions,Central Bank Data,Latin America,YEM,ECU,,102825.145845295
Yemen,Mexico,2022,0.005701,USD millions,Central Bank Data,Latin America,YEM,MEX,,1287850.32341001
Zambia,Ecuador,2021,0.01060072,USD millions,Central Bank Data,Latin America,ZMB,ECU,24879.098747886103,102825.145845295
Zambia,Mexico,2022,0.00067,USD millions,Central Bank Data,Latin America,ZMB,MEX,26175.604214189498,1287850.32341001
Zimbabwe,Ecuador,2021,0.001468,USD millions,Central Bank Data,Latin America,ZWE,ECU,20718.530620626203,102825.145845295
Zimbabwe,Mexico,2022,0.000329,USD millions,Central Bank Data,Latin America,ZWE,MEX,21990.477716188998,1287850.32341001
Russian Federation,Armenia,2018,1049.5639099999999,USD millions,Roland Kpodar (IMF),Asia,RUS,ARM,1430116.27851549,11958.638938496
Russian Federation,Armenia,2019,1055.640041,USD millions,Roland Kpodar (IMF),Asia,RUS,ARM,1461551.31710621,12867.4954976469
Russian Federation,Armenia,2020,824.360442,USD millions,Roland Kpodar (IMF),Asia,RUS,ARM,1422766.79479499,11941.0358219185
United States,Armenia,2018,223.97581,USD millions,Roland Kpodar (IMF),Asia,USA,ARM,19651869.1175825,11958.638938496
United States,Armenia,2019,280.91130599999997,USD millions,Roland Kpodar (IMF),Asia,USA,ARM,20159639.089698102,12867.4954976469
United States,Armenia,2020,458.719932,USD millions,Roland Kpodar (IMF),Asia,USA,ARM,19723580.2219382,11941.0358219185
Angola,Brazil,2018,8.5,USD millions,Roland Kpodar (IMF),Latin America,AGO,BRA,86872.9660328735,1797736.84496916
Angola,Brazil,2019,9.0,USD millions,Roland Kpodar (IMF),Latin America,AGO,BRA,86262.8806849456,1819683.21769938
Angola,Brazil,2020,6.5,USD millions,Roland Kpodar (IMF),Latin America,AGO,BRA,81399.1942507301,1760056.58779546
Bolivia,Brazil,2018,0.0,USD millions,Roland Kpodar (IMF),Latin America,BOL,BRA,37364.9589284415,1797736.84496916
Bolivia,Brazil,2019,0.0,USD millions,Roland Kpodar (IMF),Latin America,BOL,BRA,38193.2300802463,1819683.21769938
Bolivia,Brazil,2020,0.0,USD millions,Roland Kpodar (IMF),Latin America,BOL,BRA,34855.949803364405,1760056.58779546
Canada,Brazil,2018,48.1,USD millions,Roland Kpodar (IMF),Latin America,CAN,BRA,1664832.88787371,1797736.84496916
Canada,Brazil,2019,45.5,USD millions,Roland Kpodar (IMF),Latin America,CAN,BRA,1696605.0905518401,1819683.21769938
Canada,Brazil,2020,48.6,USD millions,Roland Kpodar (IMF),Latin America,CAN,BRA,1611126.16562503,1760056.58779546
China,Brazil,2018,0.0,USD millions,Roland Kpodar (IMF),Latin America,CHN,BRA,13745158.2751367,1797736.84496916
China,Brazil,2019,0.0,USD millions,Roland Kpodar (IMF),Latin America,CHN,BRA,14579283.5281484,1819683.21769938
China,Brazil,2020,0.0,USD millions,Roland Kpodar (IMF),Latin America,CHN,BRA,14920466.2345653,1760056.58779546
France,Brazil,2018,71.2,USD millions,Roland Kpodar (IMF),Latin America,FRA,BRA,2556210.83276002,1797736.84496916
France,Brazil,2019,82.1,USD millions,Roland Kpodar (IMF),Latin America,FRA,BRA,2608036.6389061203,1819683.21769938
France,Brazil,2020,74.0,USD millions,Roland Kpodar (IMF),Latin America,FRA,BRA,2413981.86767636,1760056.58779546
Germany,Brazil,2018,70.7,USD millions,Roland Kpodar (IMF),Latin America,DEU,BRA,3637409.36550255,1797736.84496916
Germany,Brazil,2019,63.1,USD millions,Roland Kpodar (IMF),Latin America,DEU,BRA,3673343.09074263,1819683.21769938
Germany,Brazil,2020,60.0,USD millions,Roland Kpodar (IMF),Latin America,DEU,BRA,3522914.6397119197,1760056.58779546
Haiti,Brazil,2018,0.0,USD millions,Roland Kpodar (IMF),Latin America,HTI,BRA,15756.7786379976,1797736.84496916
Haiti,Brazil,2019,0.0,USD millions,Roland Kpodar (IMF),Latin America,HTI,BRA,15485.274058243,1819683.21769938
Haiti,Brazil,2020,0.0,USD millions,Roland Kpodar (IMF),Latin America,HTI,BRA,14973.4074772561,1760056.58779546
Italy,Brazil,2018,82.6,USD millions,Roland Kpodar (IMF),Latin America,ITA,BRA,1913894.03892683,1797736.84496916
Italy,Brazil,2019,83.5,USD millions,Roland Kpodar (IMF),Latin America,ITA,BRA,1922107.75507816,1819683.21769938
Italy,Brazil,2020,84.7,USD millions,Roland Kpodar (IMF),Latin America,ITA,BRA,1751650.98723543,1760056.58779546
Japan,Brazil,2018,100.6,USD millions,Roland Kpodar (IMF),Latin America,JPN,BRA,4582763.01147855,1797736.84496916
Japan,Brazil,2019,100.4,USD millions,Roland Kpodar (IMF),Latin America,JPN,BRA,4564332.55009638,1819683.21769938
Japan,Brazil,2020,97.6,USD millions,Roland Kpodar (IMF),Latin America,JPN,BRA,4374056.27182401,1760056.58779546
Netherlands,Brazil,2018,15.9,USD millions,Roland Kpodar (IMF),Latin America,NLD,BRA,835096.710412613,1797736.84496916
Netherlands,Brazil,2019,16.1,USD millions,Roland Kpodar (IMF),Latin America,NLD,BRA,854304.699526719,1819683.21769938
Netherlands,Brazil,2020,13.8,USD millions,Roland Kpodar (IMF),Latin America,NLD,BRA,821260.592382701,1760056.58779546
Peru,Brazil,2018,0.0,USD millions,Roland Kpodar (IMF),Latin America,PER,BRA,210305.37651278,1797736.84496916
Peru,Brazil,2019,0.0,USD millions,Roland Kpodar (IMF),Latin America,PER,BRA,215017.545590315,1819683.21769938
Peru,Brazil,2020,0.0,USD millions,Roland Kpodar (IMF),Latin America,PER,BRA,191509.018299917,1760056.58779546
Portugal,Brazil,2018,198.3,USD millions,Roland Kpodar (IMF),Latin America,PRT,BRA,215937.375270068,1797736.84496916
Portugal,Brazil,2019,236.9,USD millions,Roland Kpodar (IMF),Latin America,PRT,BRA,221866.33495096702,1819683.21769938
Portugal,Brazil,2020,214.0,USD millions,Roland Kpodar (IMF),Latin America,PRT,BRA,203663.018608844,1760056.58779546
Spain,Brazil,2018,106.9,USD millions,Roland Kpodar (IMF),Latin America,ESP,BRA,1307871.70170125,1797736.84496916
Spain,Brazil,2019,103.6,USD millions,Roland Kpodar (IMF),Latin America,ESP,BRA,1333521.40043269,1819683.21769938
Spain,Brazil,2020,123.1,USD millions,Roland Kpodar (IMF),Latin America,ESP,BRA,1187633.21729202,1760056.58779546
Switzerland,Brazil,2018,94.5,USD millions,Roland Kpodar (IMF),Latin America,CHE,BRA,738674.254331744,1797736.84496916
Switzerland,Brazil,2019,180.8,USD millions,Roland Kpodar (IMF),Latin America,CHE,BRA,747109.7827557939,1819683.21769938
Switzerland,Brazil,2020,93.1,USD millions,Roland Kpodar (IMF),Latin America,CHE,BRA,731108.655210761,1760056.58779546
United Kingdom,Brazil,2018,350.0,USD millions,Roland Kpodar (IMF),Latin America,GBR,BRA,3106499.2432324397,1797736.84496916
United Kingdom,Brazil,2019,382.5,USD millions,Roland Kpodar (IMF),Latin America,GBR,BRA,3156963.55241756,1819683.21769938
United Kingdom,Brazil,2020,642.3,USD millions,Roland Kpodar (IMF),Latin America,GBR,BRA,2831893.57701153,1760056.58779546
United States,Brazil,2018,1077.2,USD millions,Roland Kpodar (IMF),Latin America,USA,BRA,19651869.1175825,1797736.84496916
United States,Brazil,2019,1229.6,USD millions,Roland Kpodar (IMF),Latin America,USA,BRA,20159639.089698102,1819683.21769938
United States,Brazil,2020,1560.0,USD millions,Roland Kpodar (IMF),Latin America,USA,BRA,19723580.2219382,1760056.58779546
Angola,Cabo Verde,2018,0.956092835,USD millions,Roland Kpodar (IMF),Africa,AGO,CPV,86872.9660328735,1978.5368093319298
